Rk,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
422,SF,26,42,10,28.0,6.0,13.3,0.45299999999999996,2.8,7.7,0.36700000000000005,3.2,5.6,0.573,0.56,1.5,2.4,0.657,1.0,2.9,3.9,1.2,1.2,0.4,1.0,2.4,16.4
259,SF,27,3,1,27.3,2.7,6.0,0.444,1.0,1.7,0.6,1.7,4.3,0.385,0.528,1.0,1.3,0.75,1.0,3.3,4.3,0.0,0.3,0.0,0.3,2.7,7.3
287,SF,26,2,0,7.5,1.0,1.5,0.667,0.0,0.0,0.0,1.0,1.5,0.667,0.667,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.5,0.0,0.0,1.0,2.0
579,SF,25,32,1,11.4,1.6,3.5,0.451,0.2,0.8,0.20800000000000002,1.4,2.8,0.517,0.473,0.4,0.8,0.52,0.6,2.5,3.1,1.2,0.5,0.4,0.9,1.1,3.8
294,SF,23,9,0,5.3,0.6,1.2,0.455,0.2,0.4,0.5,0.3,0.8,0.429,0.545,0.4,1.0,0.444,0.4,0.4,0.9,0.0,0.1,0.1,0.4,0.9,1.8
38,SF,32,25,14,16.6,1.4,4.2,0.33,0.8,2.3,0.35100000000000003,0.6,2.0,0.306,0.425,0.4,0.5,0.769,0.3,1.7,2.0,0.9,0.8,0.2,0.4,2.1,4.0
300,SF,22,41,7,18.0,2.1,4.9,0.43799999999999994,0.9,2.8,0.316,1.3,2.1,0.598,0.527,0.8,0.9,0.868,0.5,1.7,2.2,0.8,0.3,0.2,0.5,0.9,6.0
393,SF,24,38,5,16.9,2.2,5.3,0.408,0.9,2.9,0.315,1.2,2.4,0.522,0.495,0.7,0.8,0.8440000000000001,0.5,1.8,2.3,1.1,0.6,0.1,0.7,1.2,5.9
368,SF,30,36,36,31.9,6.6,15.0,0.436,2.4,6.2,0.381,4.2,8.8,0.475,0.515,4.2,4.8,0.883,0.6,5.1,5.7,5.3,1.1,0.3,3.2,2.3,19.7
326,SF,23,1,0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
442,SF,23,9,9,29.4,4.1,11.4,0.359,1.1,5.3,0.20800000000000002,3.0,6.1,0.491,0.408,0.6,1.0,0.556,1.0,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9
533,SF,28,44,4,15.7,1.8,3.8,0.491,0.4,1.4,0.27899999999999997,1.5,2.4,0.615,0.542,0.7,1.1,0.5920000000000001,0.5,2.4,2.9,2.0,0.8,0.3,1.1,1.7,4.7
568,SF,26,42,42,31.5,6.8,14.1,0.486,2.2,5.4,0.413,4.6,8.7,0.53,0.564,2.4,3.5,0.6709999999999999,1.1,3.1,4.2,2.0,0.9,0.6,1.6,1.8,18.3
36,SF,26,38,12,17.3,2.3,4.6,0.5,0.3,1.1,0.325,2.0,3.6,0.551,0.537,0.8,1.1,0.69,1.2,3.1,4.3,0.7,0.4,0.3,0.8,1.0,5.7
409,SF,28,43,43,31.6,2.6,5.4,0.48700000000000004,1.5,3.6,0.406,1.2,1.8,0.649,0.623,0.7,0.9,0.763,0.8,4.3,5.2,2.5,1.3,0.5,0.9,2.5,7.4
212,SF,28,30,14,18.4,1.6,3.5,0.44299999999999995,0.5,2.0,0.267,1.0,1.5,0.674,0.519,0.3,0.5,0.667,0.2,2.1,2.3,0.5,0.4,0.6,0.6,1.5,4.0
64,SF,23,20,0,8.4,0.8,2.6,0.314,0.3,1.3,0.2,0.6,1.3,0.423,0.363,0.4,0.5,0.8,0.4,1.0,1.4,0.7,0.3,0.1,0.3,1.0,2.3
435,SF,26,11,0,8.5,0.7,2.5,0.29600000000000004,0.5,1.8,0.25,0.3,0.6,0.429,0.389,0.4,0.4,1.0,0.0,1.5,1.5,1.1,0.4,0.2,0.2,0.8,2.3
397,SF,22,31,1,10.7,1.2,3.3,0.373,0.5,2.2,0.235,0.7,1.1,0.647,0.451,0.3,0.4,0.818,0.3,1.5,1.7,0.4,0.3,0.1,0.6,1.3,3.3
10,SF,28,3,0,10.0,0.7,3.7,0.182,0.3,3.0,0.111,0.3,0.7,0.5,0.22699999999999998,1.0,1.0,1.0,0.7,0.7,1.3,1.0,0.3,0.3,0.3,1.7,2.7
17,SF,36,12,5,19.2,1.3,3.3,0.375,1.0,2.8,0.364,0.3,0.6,0.429,0.525,0.2,0.3,0.5,0.3,2.9,3.3,1.3,0.5,0.2,0.3,0.6,3.7
67,SF,23,35,1,18.6,2.4,5.6,0.423,0.9,2.6,0.33299999999999996,1.5,3.0,0.5,0.5,0.7,1.1,0.6,1.3,2.7,3.9,0.7,0.5,0.3,0.7,1.4,6.3
